"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16610",1411996,2021,"Individual",2,0,0,0,0,0,0,2,0
"16611",1411996,2022,"Individual",84,0,0,0,80,0,0,4,0
"16612",1411996,2023,"Individual",29,0,0,0,25,0,0,4,0
"16613",1411996,2024,"Individual",91,0,0,0,84,0,0,7,0
"16614",1412288,2021,"Individual",14,0,0,0,14,0,0,0,0
"16615",1412288,2022,"Individual",6,0,0,0,0,0,0,6,6
"16616",1412288,2023,"Individual",8,0,0,0,4,0,0,4,0
"16617",1412288,2024,"Individual",22,0,0,0,4,0,0,18,12
"16618",1412522,2023,"Individual",5,0,0,0,0,0,0,5,0
"16619",1412522,2024,"Individual",5,0,0,0,2,0,0,3,0
"16620",1412667,2021,"Individual",32,0,0,0,0,0,28,4,0
"16621",1412737,2024,"Individual",3,0,0,0,0,0,0,3,0
"16622",1413084,2021,"Individual",1,0,0,0,0,0,0,1,0
"16623",1413126,2023,"Individual",15,0,0,0,0,0,0,15,0
"16624",1413126,2024,"Individual",11,0,0,0,0,0,0,11,0
"16625",1413143,2024,"Individual",2,0,0,0,0,0,0,2,2
"16626",1413817,2023,"Individual",7,0,0,0,0,0,0,7,0
"16627",1414061,2024,"Individual",8,0,0,0,0,0,0,8,8
"16628",1414101,2021,"Individual",12,0,0,0,0,0,0,12,0
"16629",1414101,2024,"Individual",3,0,0,0,0,0,0,3,0
"16630",1414850,2021,"Individual",2,0,0,0,0,0,0,2,0
"16631",1414850,2022,"Individual",6,0,0,0,0,0,0,6,0
"16632",1414850,2023,"Individual",4,0,0,0,0,0,0,4,0
"16633",1414850,2024,"Individual",4,0,0,0,0,0,0,4,0
"16634",1415094,2021,"Individual",5,0,0,0,0,0,0,5,0
"16635",1415094,2024,"Individual",36,0,0,0,0,0,0,36,36
"16636",1415445,2022,"Individual",5,0,0,0,0,0,0,5,0
"16637",1415445,2023,"Individual",4,0,0,0,0,0,0,4,0
"16638",1415445,2024,"Individual",18,0,0,0,0,0,0,18,12
"16639",1415452,2021,"Individual",4,0,0,0,4,0,0,0,0
"16640",1415452,2022,"Individual",12,0,0,0,0,0,0,12,12
"16641",1415545,2021,"Individual",32,0,0,0,0,0,0,32,0
"16642",1415545,2023,"Individual",9,0,0,0,0,0,0,9,0
"16643",1415545,2024,"Individual",14,0,0,0,0,0,0,14,12
"16644",1415565,2021,"Individual",46,0,0,0,0,0,40,6,0
"16645",1415565,2023,"Individual",21,0,0,0,21,0,0,0,0
"16646",1415565,2024,"Individual",3,0,0,0,0,0,0,3,0
"16647",1415733,2021,"Individual",6,0,0,0,0,0,0,6,0
"16648",1415748,2021,"Individual",4,0,0,0,0,0,0,4,0
"16649",1415810,2023,"Individual",4,0,0,0,0,0,0,4,0
"16650",1415941,2021,"Individual",3,0,0,0,0,0,0,3,0
"16651",1415941,2022,"Individual",4,0,0,0,0,0,0,4,0
"16652",1415987,2021,"Individual",26,0,0,0,0,26,26,0,0
"16653",1416112,2021,"Individual",9,0,0,0,0,0,0,9,0
"16654",1416112,2022,"Individual",13,0,0,0,0,0,7,6,0
"16655",1416112,2023,"Individual",160,0,0,160,0,0,160,0,0
"16656",1416112,2024,"Individual",183,0,0,156,0,0,160,23,0
"16657",1416362,2022,"Individual",9,0,0,0,0,0,0,9,9
"16658",1416362,2023,"Individual",8,0,0,0,0,0,0,8,0
"16659",1416454,2024,"Individual",14,0,0,0,0,0,0,14,14
"16660",1416521,2021,"Individual",40,0,0,0,0,0,40,0,0
"16661",1416521,2023,"Individual",42,0,0,0,0,0,36,6,0
"16662",1416521,2024,"Individual",76,0,0,0,0,0,72,4,0
"16663",1416735,2023,"Business",2,0,0,0,0,0,0,2,2
"16664",1416973,2021,"Individual",2,0,0,0,0,0,0,2,0
"16665",1416973,2023,"Individual",5,0,0,0,0,0,0,5,0
"16666",1417275,2023,"Individual",6,0,0,0,0,0,2,4,0
"16667",1417527,2021,"Individual",17,0,0,0,0,14,14,3,0
"16668",1417527,2022,"Individual",2,0,0,0,0,0,0,2,0
"16669",1417527,2024,"Individual",4,0,0,0,0,0,0,4,0
"16670",1417530,2023,"Individual",4,0,0,0,0,0,0,4,4
"16671",1417710,2021,"Individual",15,0,0,0,0,0,0,15,0
"16672",1417710,2022,"Individual",27,0,0,0,9,0,0,18,18
"16673",1417710,2023,"Individual",27,0,0,0,9,0,0,18,18
"16674",1417710,2024,"Individual",14,0,0,0,9,0,0,5,0
"16675",1417790,2021,"Business",976,0,960,0,0,0,960,16,0
"16676",1417790,2022,"Business",320,0,0,0,0,0,320,0,0
"16677",1418017,2022,"Individual",2,0,0,0,0,0,0,2,0
"16678",1418017,2023,"Individual",40,0,0,0,0,0,40,0,0
"16679",1418017,2024,"Individual",40,0,0,0,0,0,40,0,0
"16680",1418094,2024,"Individual",35,0,0,0,0,22,24,11,0
"16681",1418118,2021,"Individual",4,0,0,0,4,0,0,0,0
